type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information,source_file,type of bacteria,concentration of bacteria
ABTS,Pleurotus ostreatus,,17-18 kg substrate block,submerged fermentation,"20-25 °C (vegetative), 16-18 °C (fruiting)",10 weeks,5.0 ± 0.2,1.1-1.3 U/ml laccase activity,Three flushes of fruiting bodies were produced.,Laccase+Production+in+Airlift+Reactor_.txt,,
phenol red,Pleurotus ostreatus,,17-18 kg substrate block,submerged fermentation,"20-25 °C (vegetative), 16-18 °C (fruiting)",10 weeks,5.0 ± 0.2,15-16 U/ml MnP activity,Enzyme activities decreased during mushroom maturation.,Laccase+Production+in+Airlift+Reactor_.txt,,
SGZ,Pleurotus ostreatus,,17-18 kg substrate block,submerged fermentation,"20-25 °C (vegetative), 16-18 °C (fruiting)",10 weeks,5.0 ± 0.2,1.1-1.4 U/ml VP activity,Enzyme activities showed a cyclical pattern with mushroom production.,Laccase+Production+in+Airlift+Reactor_.txt,,
,Coprinopsis cinerea,,,shake flask fermentation,37 °C,,,3 U/ml Lcc1 activity,Higher yields of laccase were produced under optimal conditions.,Laccase+Production+in+Airlift+Reactor_.txt,,
,Trametes versicolor,,,stirred vessel,28 °C,,,80 U/ml laccase activity,Continuous cultivation was used for enhanced enzyme production.,Laccase+Production+in+Airlift+Reactor_.txt,,
Malachite Green,Pseudopestalotiopsis theae,100 ppm,0.5 g,shaking (100 rpm),25 ± 2 °C,14 days,not specified,89.22%,Highest decolorization efficiency among tested fungi,Fungal+dye+decolourization%3A+Recent+advances+and+future+potential_.txt,,
Malachite Green,Trichoderma asperellum,100 ppm,0.5 g,shaking (100 rpm),25 ± 2 °C,14 days,not specified,76.19%,Second highest decolorization efficiency,Fungal+dye+decolourization%3A+Recent+advances+and+future+potential_.txt,,
Malachite Green,Astrocystis bambusae,100 ppm,0.5 g,shaking (100 rpm),25 ± 2 °C,14 days,not specified,67.69%,Lowest decolorization efficiency among tested fungi,Fungal+dye+decolourization%3A+Recent+advances+and+future+potential_.txt,,
Malachite Green,Pseudopestalotiopsis theae,100 ppm,0.5 g,shaking (100 rpm),25 ± 2 °C,14 days,not specified,71.42% (day 4),Peak decolorization activity observed,Fungal+dye+decolourization%3A+Recent+advances+and+future+potential_.txt,,
Malachite Green,Trichoderma asperellum,100 ppm,0.5 g,shaking (100 rpm),25 ± 2 °C,14 days,not specified,66.77% (day 4),Peak decolorization activity observed,Fungal+dye+decolourization%3A+Recent+advances+and+future+potential_.txt,,
Malachite Green,Astrocystis bambusae,100 ppm,0.5 g,shaking (100 rpm),25 ± 2 °C,14 days,not specified,55.14% (day 5),Peak decolorization activity observed,Fungal+dye+decolourization%3A+Recent+advances+and+future+potential_.txt,,
Orange II,Pleurotus ostreatus,100 ppm,,shaking,30°C,3 days,5.0,90% color removal,Buffer concentration at 10 mM,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt,,
Acid Red 29,Pleurotus ostreatus,100 ppm,,shaking,30°C,3 days,5.0,Significant reduction in color,Buffer concentration at 10 mM,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt,,
Remazol Brilliant Blue R,Pleurotus ostreatus,100 ppm,,shaking,30°C,3 days,5.0,Significant reduction in color,Buffer concentration at 10 mM,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt,,
Disperse Red 1,Pleurotus ostreatus,100 ppm,,shaking,30°C,7 days,,"Nitrobenzene, 4-nitrophenol, 4-nitroaniline produced",Primary degradation products identified,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt,,
Disperse Red 19,Pleurotus ostreatus,100 ppm,,shaking,30°C,7 days,,"Nitrobenzene, 4-nitrophenol, 4-nitroaniline produced",Primary degradation products identified,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt,,
Disperse Orange 1,Pleurotus ostreatus,100 ppm,,shaking,30°C,7 days,,"Nitrobenzene, 4-nitrophenol, 4-nitroaniline produced",Primary degradation products identified,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt,,
Disperse Orange 25,Pleurotus ostreatus,100 ppm,,shaking,30°C,7 days,,"Nitrobenzene, 4-nitrophenol, 4-nitroaniline produced",Primary degradation products identified,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt,,
Disperse Red 13,Pleurotus ostreatus,100 ppm,,shaking,30°C,7 days,,"1-chloro-3-nitrobenzene, 2-chloro-4-nitroaniline produced",Primary degradation products identified,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt,,
4-nitrophenol,Pleurotus ostreatus,25 ppm,,shaking,30°C,7 days,,90% degradation observed,"Secondary products include 4-nitroanisole, 2,4-dinitrophenol",HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt,,
4-nitroaniline,Pleurotus ostreatus,25 ppm,,shaking,30°C,7 days,,40% degradation observed,"Degradation products included nitrobenzene, 4-nitrophenol, 4-nitroanisole",HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt,,
Cadmium,Trametes pubescens,10 mg/L,,shaking,28 °C,7 days,4.5,53.13%,Maximum removal rate observed.,Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_.txt,,
Cadmium,Trametes pubescens,100 mg/L,,shaking,28 °C,7 days,4.5,6.565 mg/g,Highest adsorption capacity observed.,Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_.txt,,
Cadmium,Trametes pubescens,5 mg/L,,,,,,,FTIR analysis showed peak shift indicating adsorption.,Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_.txt,,
Cadmium,Trametes pubescens,10 mg/L,,,,,,,FTIR analysis showed peak shift indicating adsorption.,Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_.txt,,
Cadmium,Trametes pubescens,50 mg/L,,,,,,,FTIR analysis showed peak shift indicating adsorption.,Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_.txt,,
Cadmium,Trametes pubescens,100 mg/L,,,,,,,FTIR analysis showed peak shift indicating adsorption.,Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_.txt,,
Cadmium,Trametes pubescens,10 mg/L,,,26 °C,15 days,,"53.54% reduction in roots, 86.38% in shoots",Significant reduction in cadmium accumulation in rice tissues.,Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_.txt,,
"2,4-Dichlorophenoxy acetic acid",Phanerochaete chrysosporium 787,0.25 µM,105 spores/ml,orbital shaker,30°C,15 days,not specified,41.7%,Gas chromatography analysis performed,Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt,,
"2,4-Dichlorophenoxy acetic acid",Schizophyllum commune,0.25 µM,105 spores/ml,orbital shaker,30°C,15 days,not specified,32.6%,Gas chromatography analysis performed,Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt,,
"2,4-Dichlorophenoxy acetic acid",Lenzites eximia,0.25 µM,105 spores/ml,orbital shaker,30°C,15 days,not specified,39.0%,Gas chromatography analysis performed,Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt,,
not specified,Phanerochaete chrysosporium 787,not specified,not specified,not specified,not specified,1 day,not specified,not specified,"LiP production: 30 U/ml, MnP production: 0.01 U/ml, AAO production: 36 U/ml",Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt,,
not specified,Phanerochaete chrysosporium 787,not specified,not specified,not specified,not specified,2 days,not specified,not specified,"LiP production: 39 U/ml, MnP production: 0.02 U/ml, AAO production: 75 U/ml",Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt,,
not specified,Phanerochaete chrysosporium 787,not specified,not specified,not specified,not specified,3 days,not specified,not specified,"LiP production: 53 U/ml, MnP production: 0.03 U/ml, AAO production: 88 U/ml",Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt,,
not specified,Phanerochaete chrysosporium 787,not specified,not specified,not specified,not specified,4 days,not specified,not specified,"LiP production: 64 U/ml, MnP production: 0.04 U/ml, AAO production: 109 U/ml",Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt,,
not specified,Phanerochaete chrysosporium 787,not specified,not specified,not specified,not specified,5 days,not specified,not specified,"LiP production: 87 U/ml, MnP production: 0.05 U/ml, AAO production: 120 U/ml",Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt,,
not specified,Phanerochaete chrysosporium 787,not specified,not specified,not specified,not specified,6 days,not specified,not specified,"LiP production: 126 U/ml, MnP production: 0.07 U/ml, AAO production: 137 U/ml",Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt,,
not specified,Phanerochaete chrysosporium 787,not specified,not specified,not specified,not specified,7 days,not specified,not specified,"LiP production: 163 U/ml, MnP production: 0.09 U/ml, AAO production: 159 U/ml",Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt,,
Acid Blue 62,Pleurotus ostreatus,0.10 g/l,,shaking,30°C,1 day,5.0,40%,Effective decolorization with laccase.,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt,,
Acid Blue 62,Pleurotus ostreatus,0.10 g/l,,shaking,30°C,7 days,5.0,60%,Laccase activity measured.,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt,,
Direct Blue 71,Phanerochaete chrysosporium,1.00 g/l,,shaking,30°C,1 day,9.0,46%,Effective in presence of nutrients.,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt,,
Direct Blue 71,Phanerochaete chrysosporium,1.00 g/l,,shaking,30°C,7 days,9.0,87%,Complete depletion of dye peaks.,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt,,
Remazol Brilliant Blue R,Pleurotus ostreatus,,,fluidized bed reactor,,various,4.5,Up to 80%,Effective even after 15 additions.,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt,,
Reactive Blue 222,Cunninghamella elegans,1.25 g/l,,shaking,30°C,24 hours,10.0,59.3%,High efficiency despite high complexity.,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt,,
Reactive Red 195,Rhizopus stolonifer,1.25 g/l,,shaking,30°C,24 hours,10.0,50%,Effective against azo dyes.,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt,,
Reactive Yellow 145,Rhizomucor pusillus,1.25 g/l,,shaking,30°C,24 hours,10.0,Not effective,Inability to degrade this dye.,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt,,
not applicable,KONA001,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt,,
not applicable,AGUM004,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt,,
not applicable,AGUM007,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt,,
not applicable,AGUM011,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt,,
not applicable,AGUM021,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt,,
not applicable,BANG001,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt,,
not applicable,TAMI004,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt,,
not applicable,MTCC138,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt,,
not applicable,MTCC149,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt,,
not applicable,MTCC1039,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed,A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt,,
Congo Red,Phanerochaete chrysosporium,50 mg/L,5 x 10^10/L,shaking,30°C,48h,5.5,37.5%,Adsorption test showed maximum dye adsorbed was 1.87 mg/g shells.,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt,,
Congo Red,Phanerochaete chrysosporium,500 mg/L,5 x 10^10/L,shaking,30°C,48h,5.5,43%,Maximum dye adsorbed was 13.75 mg/g shells.,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt,,
Congo Red,Phanerochaete chrysosporium,1000 mg/L,5 x 10^10/L,shaking,30°C,48h,5.5,Not specified,Adsorption tests conducted.,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt,,
Congo Red,Phanerochaete chrysosporium,5000 mg/L,5 x 10^10/L,shaking,30°C,48h,5.5,27.5%,Adsorption tests conducted.,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt,,
Congo Red,Phanerochaete chrysosporium,500 mg/L,5 x 10^10/L,shaking,39°C during trophophase and 30°C during idiophase,until MnP activity reached zero,Not specified,43%,Degradation efficiency evaluated through methanol extraction.,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt,,
Synazol red HF-6BN,Aspergillus niger,not specified,not specified,not specified,not specified,24 d,not specified,88.0%,Ilyas and Rehman (2013),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt,,
Synazol red HF-6BN,Nigrospora sp.,not specified,not specified,not specified,not specified,24 d,not specified,96.0%,Ilyas and Rehman (2013),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt,,
Congo red,Oudemansiella canarii,not specified,not specified,not specified,not specified,60 h,not specified,80.0%,Iark et al. (2019),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt,,
Remazol blue,Peurotus florida,not specified,not specified,not specified,not specified,72 h,not specified,94.6%,Montiague et al. (2020),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt,,
Direct Blue-1,Aspergillus terreus,not specified,not specified,not specified,not specified,168 h,not specified,98.4%,Singh and Dwivedi (2020),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt,,
Disperse red 1,Aspergillus fumigatus,not specified,not specified,not specified,not specified,not specified,not specified,85.0%,Ameen et al. (2021),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt,,
Acid Blue 29,Aspergillus flavus,not specified,not specified,not specified,not specified,not specified,not specified,86.0%,Ameen et al. (2021),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt,,
Reactive blue 4,Trametes hirsute D7,not specified,not specified,not specified,not specified,not specified,not specified,90.0%,Alam et al. (2021),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt,,
Acid blue 12,Trametes hirsute D7,not specified,not specified,not specified,not specified,not specified,not specified,90.0%,Alam et al. (2021),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt,,
Synozol Red HF-6BN,Aspergillus nidulans,not specified,not specified,not specified,not specified,not specified,not specified,96.0%,Khan et al. (2020),Degradation+of+azo+dyes+by+environmental+microorganisms+and+helminths_.txt,,
Indigo carmine,Funalia trogii,50 mg/L,,agitated (150 rpm),30 °C,4 h,6.0,92%,,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt,,
Indigo carmine,Funalia trogii,100 mg/L,,agitated (150 rpm),30 °C,4 h,6.0,91%,,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt,,
Indigo carmine,Funalia trogii,50 mg/L,,static,30 °C,4 h,6.0,87%,,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt,,
Indigo carmine,Funalia trogii,100 mg/L,,static,30 °C,4 h,6.0,90%,,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt,,
Indigo carmine,Funalia trogii,100 mg/L,,agitated (150 rpm),30 °C,30 s,3.0,57%,,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt,,
Indigo carmine,Funalia trogii,100 mg/L,,agitated (150 rpm),60 °C,300 s,3.0,45%,,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt,,
Indigo carmine,Funalia trogii,100 mg/L,,agitated (150 rpm),70 °C,300 s,3.0,38%,,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt,,
Indigo carmine,Funalia trogii,100 mg/L,,agitated (150 rpm),30 °C,300 s,4.0,24%,,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt,,
Indigo carmine,Funalia trogii,100 mg/L,,agitated (150 rpm),30 °C,300 s,5.0,13%,,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt,,
Indigo carmine,Funalia trogii,100 mg/L,,agitated (150 rpm),30 °C,300 s,6.0,7%,,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt,,
Phenol Red,P. flabellatus,300 mg/l,1 mm diameter mycelial bits,stagnant condition,25°C,20 days,5.5,not specified,Used for comparison with other strains,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt,,
Phenol Red,P. ostreatus,300 mg/l,1 mm diameter mycelial bits,stagnant condition,25°C,20 days,5.5,not specified,Used for comparison with other strains,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt,,
Phenol Red,P. citrinopileatus,300 mg/l,1 mm diameter mycelial bits,stagnant condition,25°C,20 days,5.5,not specified,Used for comparison with other strains,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt,,
Phenol Red,Pfo 6X9,300 mg/l,1 mm diameter mycelial bits,stagnant condition,25°C,20 days,5.5,not specified,Improved dikaryon with higher activity,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt,,
Phenol Red,Poc 9X6,300 mg/l,1 mm diameter mycelial bits,stagnant condition,25°C,20 days,5.5,not specified,Improved dikaryon with higher activity,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt,,
Phenol Red,Poc 9X6,300 mg/l,5 ml of 10 days old culture,not specified,25°C,not specified,not specified,maximum decolorization,Best result achieved,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt,,
Phenol Red,Poc 9X6,300 mg/l,1 mm diameter mycelial bits,not specified,25°C,10 days,5.0,not specified,Tested for effect of age and concentration,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt,,
Phenol Red,Poc 9X6,300 mg/l,1 mm diameter mycelial bits,not specified,25°C,10 days,6.0,not specified,Tested for effect of age and concentration,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt,,
Phenol Red,Poc 9X6,300 mg/l,1 mm diameter mycelial bits,not specified,25°C,10 days,5.5,not specified,Tested for effect of age and concentration,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt,,
Phenol Red,Poc 9X6,300 mg/l,1 mm diameter mycelial bits,not specified,25°C,not specified,not specified,maximum decolorization with Tween-80 0.1%,Effect of surfactant tested,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt,,
Phenol Red,Poc 9X6,300 mg/l,1 mm diameter mycelial bits,not specified,25°C,not specified,not specified,maximum decolorization with SDS 0.5 mM,Effect of surfactant tested,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt,,
Crystal violet,Chryseomonas luteola (A1),0.05 g/dm3,Not specified,Not specified,26 °C,7 days,Not specified,26.8±0.4%,Sorption: 18.5±1.2%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt,,
Crystal violet,Chryseomonas luteola (A3),0.05 g/dm3,Not specified,Not specified,26 °C,7 days,Not specified,42.0±1.1%,Sorption: 7.2±0.9%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt,,
Crystal violet,Pseudomonas aeruginosa (B2),0.05 g/dm3,Not specified,Not specified,26 °C,7 days,Not specified,40.5±0.9%,Sorption: 28.2±0.4%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt,,
Crystal violet,Burkholderia cepacia (B3),0.05 g/dm3,Not specified,Not specified,26 °C,7 days,Not specified,30.3±3.1%,Sorption: 7.6±0.2%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt,,
Brilliant green,Chryseomonas luteola (A1),0.05 g/dm3,Not specified,Not specified,26 °C,7 days,Not specified,79.3±2.1%,Sorption: 14.4±0.5%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt,,
Brilliant green,Chryseomonas luteola (A3),0.05 g/dm3,Not specified,Not specified,26 °C,7 days,Not specified,88.6±1.0%,Sorption: 50.2±4.2%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt,,
Brilliant green,Pseudomonas aeruginosa (B2),0.05 g/dm3,Not specified,Not specified,26 °C,7 days,Not specified,85.1±2.6%,Sorption: 13.4±2.2%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt,,
Thymol blue,Polyporus picipes (RWP1),0.05 g/dm3,Not specified,Not specified,26 °C,7 days,Not specified,94.0±0.2%,Sorption: 90.6±2.1%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt,,
Cresol red,Polyporus picipes (RWP1),0.05 g/dm3,Not specified,Not specified,26 °C,7 days,Not specified,74.8±6.1%,Sorption: 70.6±0.2%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt,,
Cresol red,Trametes versicolor (L4),0.05 g/dm3,Not specified,Not specified,26 °C,7 days,Not specified,97.9±2.2%,Sorption: 95.5±0.7%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt,,
kraft pulp bleaching effluent,Geotrichum candidum Dec 1,30 g/l,not specified,shaking,30°C,7 days,5.0,78%,Absorbable organic halogens reduced by 43%.,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.txt,,
kraft pulp bleaching effluent,Geotrichum candidum Dec 1,20 g/l,not specified,shaking,30°C,6 days,not specified,78%,Maximum color removal reached after 6 days.,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.txt,,
kraft pulp bleaching effluent,Geotrichum candidum Dec 1,5 g/l,not specified,shaking,30°C,3 days,not specified,47%,Color removal declined after 4 days.,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.txt,,
kraft pulp bleaching effluent,Geotrichum candidum Dec 1,5 g/l,not specified,shaking,30°C,3 days,not specified,100% color removal due to color adsorption to cells.,Complete consumption of glucose led to decreased color removal.,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.txt,,
kraft pulp bleaching effluent,Geotrichum candidum Dec 1,10 g/l,not specified,shaking,30°C,4 days,not specified,71%,62% of color removal due to decomposed colored substances.,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.txt,,
kraft pulp bleaching effluent,Geotrichum candidum Dec 1,30 g/l,not specified,shaking,30°C,4 days,not specified,Over 70%,Color removal maintained after 4 days.,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.txt,,
Congo Red,T. virens (dead biomass),50 mg L−1,not mentioned,shaking,28 ± 2 °C,8 days,6,94%,Used HgCl2 to kill the mycelium,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt,,
Congo Red,T. virens (living biomass),50 mg L−1,not mentioned,shaking,28 ± 2 °C,8 days,6,93%,Used HgCl2 to kill the mycelium,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt,,
Congo Red,T. viride (dead biomass),50 mg L−1,not mentioned,shaking,28 ± 2 °C,8 days,6,95%,Used HgCl2 to kill the mycelium,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt,,
Congo Red,T. viride (living biomass),50 mg L−1,not mentioned,shaking,28 ± 2 °C,8 days,6,not mentioned,Used HgCl2 to kill the mycelium,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt,,
Malachite Green,T. virens (dead biomass),50 mg L−1,not mentioned,shaking,28 ± 2 °C,8 days,6,87%,Used HgCl2 to kill the mycelium,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt,,
Malachite Green,T. virens (living biomass),50 mg L−1,not mentioned,shaking,28 ± 2 °C,8 days,6,95%,Used HgCl2 to kill the mycelium,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt,,
Malachite Green,T. viride (dead biomass),50 mg L−1,not mentioned,shaking,28 ± 2 °C,8 days,6,82%,Used HgCl2 to kill the mycelium,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt,,
Malachite Green,T. viride (living biomass),50 mg L−1,not mentioned,shaking,28 ± 2 °C,8 days,6,75%,Used HgCl2 to kill the mycelium,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt,,
